City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-33.14,100,79,0.75,RU,1707093133
1,paulden,34.8856,-112.4682,11.15,47,0,2.68,US,1707093304
2,chimore,-16.9833,-65.1333,25.33,77,15,1.94,BO,1707093304
3,brisas barra de suchiate,14.55,-92.2167,28.1,72,1,5.77,MX,1707093305
4,waitangi,-43.9535,-176.5597,16.47,79,100,5.74,NZ,1707093305
5,borkum,53.5809,6.6915,11.07,87,100,15.55,DE,1707093306
6,duyun,26.2667,107.5167,1.49,95,100,1.82,CN,1707093307
7,port-aux-francais,-49.35,70.2167,5.28,73,22,9.26,TF,1707093308
8,edinburgh of the seven seas,-37.0676,-12.3116,15.76,73,60,5.82,SH,1707093308
9,tura,25.5198,90.2201,15.66,38,100,0.81,IN,1707093309
10,thulamahashi,-24.7246,31.1994,23.28,97,70,1.49,ZA,1707093310
11,talnakh,69.4865,88.3972,-17.11,97,100,3.38,RU,1707092716
12,iqaluit,63.7506,-68.5145,-22.15,77,100,2.06,CA,1707093311
13,saldanha,-33.0117,17.9442,21.03,87,100,3.36,ZA,1707093312
14,susuman,62.7833,148.1667,-25.57,89,100,1.34,RU,1707093312
15,revda,56.801,59.9303,-10.76,95,100,4.0,RU,1707093313
16,grytviken,-54.2811,-36.5092,2.39,74,5,5.15,GS,1707093314
17,constantia,44.1833,28.65,4.38,80,100,6.99,RO,1707093121
18,georgetown,5.4112,100.3354,26.96,91,20,1.54,MY,1707092724
19,ghat,24.9647,10.1728,8.93,40,0,0.99,LY,1707093317
20,kimbe,-5.5502,150.1429,29.76,74,100,2.19,PG,1707093318
21,igrim,63.1906,64.4162,-26.83,100,82,1.94,RU,1707093319
22,hawaiian paradise park,19.5933,-154.9731,24.46,63,100,3.6,US,1707093319
23,sake,-1.5736,29.045,16.23,89,80,0.18,CD,1707093320
24,port elizabeth,-33.918,25.5701,22.4,86,0,2.06,ZA,1707093321
25,stanley,54.868,-1.6985,10.29,76,75,11.32,GB,1707093283
26,sungai penuh,-2.0833,101.3833,20.56,85,100,0.77,ID,1707093322
27,argo,37.6333,22.7333,10.62,59,0,1.77,GR,1707093323
28,lihue,21.9789,-159.3672,25.58,59,20,9.77,US,1707093260
29,adamstown,-25.066,-130.1015,25.2,76,100,3.8,PN,1707093324
30,west island,-12.1568,96.8225,24.99,94,100,4.63,CC,1707093325
31,margaret river,-33.95,115.0667,17.81,61,25,3.18,AU,1707093155
32,bredasdorp,-34.5322,20.0403,21.37,88,10,1.34,ZA,1707093326
33,yellowknife,62.456,-114.3525,-25.71,76,20,3.09,CA,1707093237
34,vilyuchinsk,52.9306,158.4028,-7.85,66,100,2.5,RU,1707093327
35,akarsu,37.2355,41.0607,1.77,97,100,0.7,TR,1707093328
36,vorgashor,67.5833,63.95,-17.61,95,100,0.96,RU,1707093328
37,kirakira,-10.4544,161.9205,28.99,80,99,6.99,SB,1707093329
38,iskateley,67.6803,53.1512,-22.77,93,86,1.79,RU,1707093330
39,kavieng,-2.5744,150.7967,29.62,71,100,1.37,PG,1707093330
40,grand falls-windsor,48.9332,-55.6649,0.28,94,100,4.02,CA,1707092783
41,albany,42.6001,-73.9662,-0.18,70,4,0.45,US,1707093159
42,pacific grove,36.6177,-121.9166,15.97,77,100,8.94,US,1707093332
43,badger,64.8,-147.5333,-17.94,74,20,0.0,US,1707093333
44,quellon,-43.1167,-73.6167,16.24,71,0,3.27,CL,1707092761
45,ilulissat,69.2167,-51.1,-20.99,49,2,3.09,GL,1707093334
46,saynshand,44.8824,110.1163,-14.92,95,98,2.74,MN,1707093335
47,jieshi,22.8134,115.8257,18.6,76,34,4.06,CN,1707093336
48,sabha,27.0377,14.4283,9.74,55,4,4.2,LY,1707093336
49,lebu,-37.6167,-73.65,14.36,85,0,3.58,CL,1707093160
50,poplar bluff,36.757,-90.3929,9.94,77,100,2.06,US,1707093175
51,berdigestyakh,62.0989,126.6992,-33.98,100,98,1.12,RU,1707093338
52,ancud,-41.8697,-73.8203,15.62,86,2,4.27,CL,1707092743
53,fada,9.5667,8.3,21.43,19,72,4.24,NG,1707092793
54,tazovsky,67.4667,78.7,-14.91,96,100,3.36,RU,1707092846
55,alappuzha,9.49,76.3264,24.49,89,96,2.72,IN,1707093341
56,aasiaat,68.7098,-52.8699,-31.68,89,17,2.22,GL,1707093342
57,anadyr,64.75,177.4833,-18.72,77,0,6.71,RU,1707093342
58,longyearbyen,78.2186,15.6401,-1.09,74,75,8.75,SJ,1707093343
59,la'ie,21.6477,-157.9253,26.98,59,64,4.92,US,1707092817
60,blackmans bay,-43.0167,147.3167,20.07,58,2,0.89,AU,1707093344
61,la serena,-29.9078,-71.2542,20.73,73,0,3.6,CL,1707093345
62,gereida,11.2811,25.1414,19.96,17,5,7.41,SD,1707093346
63,bobrovytsya,50.75,31.3833,3.33,88,100,9.35,UA,1707093346
64,elliot lake,46.3834,-82.6331,-2.83,96,20,1.6,CA,1707093347
65,bethel,41.3712,-73.414,3.3,57,0,1.54,US,1707093347
66,dolores,-36.3132,-57.6792,16.19,71,0,4.76,AR,1707093348
67,taksimo,56.3444,114.8794,-24.28,94,98,0.13,RU,1707093197
68,ribeira grande,38.5167,-28.7,17.65,94,100,8.49,PT,1707093162
69,punta arenas,-53.15,-70.9167,22.06,40,75,7.2,CL,1707093350
70,udachny,66.4167,112.4,-31.98,98,85,2.08,RU,1707093134
71,rimavska sobota,48.3828,20.0224,9.38,80,100,7.17,SK,1707093352
72,lautoka,-17.6167,177.4667,31.92,58,40,2.57,FJ,1707093323
73,shimoda,34.6667,138.95,8.2,89,100,7.1,JP,1707093353
74,thunder bay,48.4001,-89.3168,0.99,86,100,2.06,CA,1707093333
75,morehead city,34.7229,-76.726,8.0,76,0,4.02,US,1707092668
76,skeldon,5.8833,-57.1333,25.9,88,100,3.52,GY,1707093355
77,souillac,-20.5167,57.5167,21.21,88,40,1.54,MU,1707093355
78,aldama,22.9167,-98.0667,24.72,54,0,3.31,MX,1707093356
79,flying fish cove,-10.4217,105.6791,26.82,89,100,2.57,CX,1707093357
80,durban,-29.8579,31.0292,23.51,90,100,3.72,ZA,1707093357
81,colby,39.3958,-101.0524,5.18,93,100,7.2,US,1707092903
82,qaqortoq,60.7167,-46.0333,-21.79,67,1,2.47,GL,1707092623
83,klyuchi,52.2667,79.1667,-7.88,92,100,4.23,RU,1707092768
84,hermanus,-34.4187,19.2345,19.89,88,20,1.49,ZA,1707093360
85,ushuaia,-54.8,-68.3,19.81,56,75,6.69,AR,1707093085
86,medvezh'yegorsk,62.9167,34.4667,-10.94,96,100,2.87,RU,1707093361
